PM2.5,PM10,CO,NO2,SO2,O3,Time,hour
101.0,247.84499999999935,3.015604999999994,18.0,95.0,5.0,2018-12-17 19:00:00,2018-12-17 19:00:00
106.0,247.84499999999935,3.015604999999994,17.0,86.0,4.0,2018-12-17 20:00:00,2018-12-17 20:00:00
84.0,185.0,2.993,16.0,83.0,5.0,2018-12-17 21:00:00,2018-12-17 21:00:00
83.0,202.0,2.804,16.0,77.0,5.0,2018-12-17 22:00:00,2018-12-17 22:00:00
67.0,167.0,2.764,16.0,72.0,4.0,2018-12-17 23:00:00,2018-12-17 23:00:00
62.0,145.0,2.635,15.0,63.0,4.0,2018-12-18 00:00:00,2018-12-18 00:00:00
67.0,127.0,2.203,15.0,61.0,4.0,2018-12-18 01:00:00,2018-12-18 01:00:00
59.0,113.0,2.126,14.0,59.0,4.0,2018-12-18 02:00:00,2018-12-18 02:00:00
57.0,106.0,1.915,14.0,60.0,4.0,2018-12-18 03:00:00,2018-12-18 03:00:00
66.0,117.0,1.86,14.0,62.0,3.0,2018-12-18 04:00:00,2018-12-18 04:00:00
69.0,122.0,1.75,14.0,68.0,4.0,2018-12-18 05:00:00,2018-12-18 05:00:00
78.0,135.0,1.932,14.0,66.0,4.0,2018-12-18 06:00:00,2018-12-18 06:00:00
79.0,151.0,2.109,14.0,68.0,5.0,2018-12-18 07:00:00,2018-12-18 07:00:00
89.0,182.0,2.117,15.0,71.0,5.0,2018-12-18 08:00:00,2018-12-18 08:00:00
95.0,212.0,2.144,17.0,74.0,5.0,2018-12-18 09:00:00,2018-12-18 09:00:00
97.0,180.0,2.287,21.0,79.0,6.0,2018-12-18 10:00:00,2018-12-18 10:00:00
92.0,142.0,2.018,22.0,65.0,14.0,2018-12-18 11:00:00,2018-12-18 11:00:00
80.0,125.0,2.295,25.0,75.0,19.0,2018-12-18 12:00:00,2018-12-18 12:00:00
75.0,135.0,2.054,21.0,71.0,28.0,2018-12-18 13:00:00,2018-12-18 13:00:00
60.0,102.0,1.94,18.0,70.0,32.0,2018-12-18 14:00:00,2018-12-18 14:00:00
51.0,96.0,2.122,18.0,76.0,35.0,2018-12-18 15:00:00,2018-12-18 15:00:00
48.0,109.0,2.397,19.0,108.0,14.0,2018-12-18 16:00:00,2018-12-18 16:00:00
67.0,165.0,2.703,17.0,108.0,5.0,2018-12-18 17:00:00,2018-12-18 17:00:00
96.0,223.0,2.218,16.0,108.0,4.0,2018-12-18 18:00:00,2018-12-18 18:00:00
72.0,137.0,1.863,13.0,94.0,5.0,2018-12-18 19:00:00,2018-12-18 19:00:00
76.0,134.0,2.205,12.0,89.0,4.0,2018-12-18 20:00:00,2018-12-18 20:00:00
72.0,135.0,2.91,14.0,87.0,5.0,2018-12-18 21:00:00,2018-12-18 21:00:00
84.0,141.0,3.015604999999994,14.0,87.0,5.0,2018-12-18 22:00:00,2018-12-18 22:00:00
77.0,143.0,2.597,15.0,80.0,5.0,2018-12-18 23:00:00,2018-12-18 23:00:00
74.0,113.0,2.448,13.0,73.0,4.0,2018-12-19 00:00:00,2018-12-19 00:00:00
71.0,109.0,2.278,12.0,67.0,4.0,2018-12-19 01:00:00,2018-12-19 01:00:00
73.0,95.0,2.056,12.0,64.0,4.0,2018-12-19 02:00:00,2018-12-19 02:00:00
65.0,95.0,1.856,11.0,62.0,4.0,2018-12-19 03:00:00,2018-12-19 03:00:00
56.0,91.0,1.592,11.0,65.0,5.0,2018-12-19 04:00:00,2018-12-19 04:00:00
68.0,90.0,1.49,12.0,65.0,7.0,2018-12-19 05:00:00,2018-12-19 05:00:00
61.0,98.0,1.56,13.0,66.0,7.0,2018-12-19 06:00:00,2018-12-19 06:00:00
62.0,107.0,1.84,14.0,69.0,6.0,2018-12-19 07:00:00,2018-12-19 07:00:00
59.0,132.0,1.84,15.0,69.0,5.0,2018-12-19 08:00:00,2018-12-19 08:00:00
71.0,140.0,1.77,16.0,74.0,5.0,2018-12-19 09:00:00,2018-12-19 09:00:00
63.0,143.0,1.664,16.0,75.0,5.0,2018-12-19 10:00:00,2018-12-19 10:00:00
25.0,52.0,0.956,9.0,84.0,4.0,2018-12-19 16:00:00,2018-12-19 16:00:00
18.0,29.0,0.938,8.0,82.0,5.0,2018-12-19 17:00:00,2018-12-19 17:00:00
20.0,32.0,0.966,7.0,74.0,7.0,2018-12-19 18:00:00,2018-12-19 18:00:00
22.0,29.0,1.297,9.0,76.0,2.0,2018-12-19 19:00:00,2018-12-19 19:00:00
32.0,30.0,1.474,9.0,87.0,2.0,2018-12-19 20:00:00,2018-12-19 20:00:00
34.0,38.0,1.294,9.0,84.0,2.0,2018-12-19 21:00:00,2018-12-19 21:00:00
22.0,27.0,0.961,8.0,79.0,3.0,2018-12-19 22:00:00,2018-12-19 22:00:00
14.0,15.0,0.799,7.0,62.0,8.0,2018-12-19 23:00:00,2018-12-19 23:00:00
17.0,12.0,0.916,7.0,61.0,3.0,2018-12-20 00:00:00,2018-12-20 00:00:00
14.0,14.0,0.943,7.0,62.0,2.0,2018-12-20 01:00:00,2018-12-20 01:00:00
22.0,19.0,0.882,8.0,71.0,2.0,2018-12-20 02:00:00,2018-12-20 02:00:00
21.0,16.0,0.816,7.0,72.0,3.0,2018-12-20 03:00:00,2018-12-20 03:00:00
18.0,16.0,0.59,6.0,62.0,10.0,2018-12-20 04:00:00,2018-12-20 04:00:00
17.0,18.0,0.567,6.0,40.0,24.0,2018-12-20 05:00:00,2018-12-20 05:00:00
18.0,13.0,0.63,6.0,43.0,19.0,2018-12-20 06:00:00,2018-12-20 06:00:00
26.0,22.0,0.946,8.0,69.0,2.0,2018-12-20 07:00:00,2018-12-20 07:00:00
16.0,24.0,0.731,7.0,67.0,14.0,2018-12-20 08:00:00,2018-12-20 08:00:00
13.0,20.0,0.722,7.0,69.0,23.0,2018-12-20 09:00:00,2018-12-20 09:00:00
18.0,24.0,0.781,7.0,70.0,10.0,2018-12-20 10:00:00,2018-12-20 10:00:00
24.0,31.0,0.669,7.0,59.0,27.0,2018-12-20 11:00:00,2018-12-20 11:00:00
18.0,25.0,0.607,7.0,46.0,38.0,2018-12-20 12:00:00,2018-12-20 12:00:00
26.0,38.0,0.573,7.0,40.0,46.0,2018-12-20 13:00:00,2018-12-20 13:00:00
28.0,70.0,0.686,7.0,46.0,39.0,2018-12-20 14:00:00,2018-12-20 14:00:00
36.0,100.0,0.712,8.0,52.0,37.0,2018-12-20 15:00:00,2018-12-20 15:00:00
32.0,62.0,0.846,8.0,65.0,24.0,2018-12-20 16:00:00,2018-12-20 16:00:00
41.0,76.0,1.061,8.0,75.0,8.0,2018-12-20 17:00:00,2018-12-20 17:00:00
43.0,77.0,1.37,9.0,78.0,3.0,2018-12-20 18:00:00,2018-12-20 18:00:00
67.0,89.0,1.686,9.0,82.0,2.0,2018-12-20 19:00:00,2018-12-20 19:00:00
65.0,85.0,1.958,10.0,78.0,2.0,2018-12-20 20:00:00,2018-12-20 20:00:00
62.0,98.0,1.746,11.0,79.0,2.0,2018-12-20 21:00:00,2018-12-20 21:00:00
64.0,93.0,1.466,10.0,74.0,2.0,2018-12-20 22:00:00,2018-12-20 22:00:00
69.0,86.0,1.449,9.0,70.0,3.0,2018-12-20 23:00:00,2018-12-20 23:00:00
64.0,89.0,1.376,9.0,63.0,2.0,2018-12-21 00:00:00,2018-12-21 00:00:00
54.0,74.0,1.315,9.0,58.0,2.0,2018-12-21 01:00:00,2018-12-21 01:00:00
60.0,68.0,1.33,9.0,51.0,2.0,2018-12-21 02:00:00,2018-12-21 02:00:00
50.0,64.0,1.323,9.0,52.0,3.0,2018-12-21 03:00:00,2018-12-21 03:00:00
41.0,66.0,1.069,9.0,56.0,2.0,2018-12-21 04:00:00,2018-12-21 04:00:00
41.0,61.0,1.068,9.0,54.0,3.0,2018-12-21 05:00:00,2018-12-21 05:00:00
41.0,64.0,1.17,10.0,57.0,2.0,2018-12-21 06:00:00,2018-12-21 06:00:00
43.0,59.0,1.422,12.0,71.0,3.0,2018-12-21 07:00:00,2018-12-21 07:00:00
57.0,81.0,1.469,13.0,72.0,3.0,2018-12-21 08:00:00,2018-12-21 08:00:00
48.0,82.0,1.354,12.0,76.0,5.0,2018-12-21 09:00:00,2018-12-21 09:00:00
47.0,89.0,1.554,13.0,79.0,6.0,2018-12-21 10:00:00,2018-12-21 10:00:00
49.0,90.0,1.262,12.0,64.0,27.0,2018-12-21 11:00:00,2018-12-21 11:00:00
44.0,59.0,1.394,12.0,64.0,26.0,2018-12-21 12:00:00,2018-12-21 12:00:00
55.0,65.0,1.376,12.0,56.0,31.0,2018-12-21 13:00:00,2018-12-21 13:00:00
44.0,74.0,1.269,11.0,64.0,19.0,2018-12-21 14:00:00,2018-12-21 14:00:00
54.0,84.0,1.27,10.0,65.0,17.0,2018-12-21 15:00:00,2018-12-21 15:00:00
51.0,62.0,1.307,10.0,66.0,13.0,2018-12-21 16:00:00,2018-12-21 16:00:00
49.0,75.0,1.42,10.0,73.0,3.0,2018-12-21 17:00:00,2018-12-21 17:00:00
63.0,100.0,1.536,11.0,77.0,3.0,2018-12-21 18:00:00,2018-12-21 18:00:00
77.0,97.0,1.465,11.0,77.0,4.0,2018-12-21 19:00:00,2018-12-21 19:00:00
72.0,87.0,1.284,11.0,76.0,4.0,2018-12-21 20:00:00,2018-12-21 20:00:00
60.0,88.0,1.231,12.0,79.0,2.0,2018-12-21 21:00:00,2018-12-21 21:00:00
61.0,96.0,1.207,11.0,76.0,2.0,2018-12-21 22:00:00,2018-12-21 22:00:00
73.0,97.0,1.157,10.0,71.0,3.0,2018-12-21 23:00:00,2018-12-21 23:00:00
70.0,92.0,1.157,10.0,66.0,2.0,2018-12-22 00:00:00,2018-12-22 00:00:00
63.0,90.0,1.146,10.0,67.0,2.0,2018-12-22 01:00:00,2018-12-22 01:00:00
68.0,94.0,1.145,10.0,64.0,2.0,2018-12-22 02:00:00,2018-12-22 02:00:00
76.0,87.0,1.064,13.0,54.0,5.0,2018-12-22 03:00:00,2018-12-22 03:00:00
67.0,67.0,1.03,9.0,36.0,20.0,2018-12-22 04:00:00,2018-12-22 04:00:00
64.0,67.0,0.923,8.0,28.0,40.0,2018-12-22 05:00:00,2018-12-22 05:00:00
50.0,48.0,0.831,7.0,27.0,47.0,2018-12-22 06:00:00,2018-12-22 06:00:00
39.0,40.0,0.947,8.0,27.0,48.0,2018-12-22 07:00:00,2018-12-22 07:00:00
36.0,40.0,1.039,7.0,26.0,58.0,2018-12-22 08:00:00,2018-12-22 08:00:00
42.0,37.0,1.111,7.0,30.0,41.0,2018-12-22 09:00:00,2018-12-22 09:00:00
49.0,48.0,1.192,7.0,33.0,33.0,2018-12-22 10:00:00,2018-12-22 10:00:00
46.0,52.0,1.267,7.0,34.0,27.0,2018-12-22 11:00:00,2018-12-22 11:00:00
66.0,66.0,1.337,7.0,37.0,20.0,2018-12-22 12:00:00,2018-12-22 12:00:00
56.0,60.0,1.334,8.0,34.0,23.0,2018-12-22 13:00:00,2018-12-22 13:00:00
59.0,59.0,1.414,10.0,39.0,18.0,2018-12-22 14:00:00,2018-12-22 14:00:00
76.0,64.0,1.498,10.0,36.0,20.0,2018-12-22 15:00:00,2018-12-22 15:00:00
65.0,62.0,1.472,8.0,35.0,22.0,2018-12-22 16:00:00,2018-12-22 16:00:00
65.0,80.0,1.664,8.0,42.0,13.0,2018-12-22 17:00:00,2018-12-22 17:00:00
89.0,109.0,1.677,8.0,35.0,20.0,2018-12-22 18:00:00,2018-12-22 18:00:00
84.0,93.0,1.625,8.0,30.0,29.0,2018-12-22 19:00:00,2018-12-22 19:00:00
87.0,83.0,1.546,8.0,30.0,26.0,2018-12-22 20:00:00,2018-12-22 20:00:00
77.0,76.0,1.509,7.0,29.0,27.0,2018-12-22 21:00:00,2018-12-22 21:00:00
75.0,77.0,1.467,8.0,26.0,36.0,2018-12-22 22:00:00,2018-12-22 22:00:00
96.0,93.0,1.5,7.0,32.0,19.0,2018-12-22 23:00:00,2018-12-22 23:00:00
102.0,104.0,1.443,8.0,33.0,23.0,2018-12-23 00:00:00,2018-12-23 00:00:00
86.0,94.0,1.355,8.0,27.0,35.0,2018-12-23 01:00:00,2018-12-23 01:00:00
101.0,115.0,1.409,9.0,29.0,25.0,2018-12-23 02:00:00,2018-12-23 02:00:00
107.0,125.0,1.476,9.0,35.0,15.0,2018-12-23 03:00:00,2018-12-23 03:00:00
131.0,146.0,1.622,11.0,37.0,13.0,2018-12-23 04:00:00,2018-12-23 04:00:00
129.0,153.0,2.828,15.0,47.0,3.0,2018-12-23 05:00:00,2018-12-23 05:00:00
118.0,161.0,3.015604999999994,17.0,53.0,2.0,2018-12-23 06:00:00,2018-12-23 06:00:00
120.0,163.0,2.632,16.0,56.0,4.0,2018-12-23 07:00:00,2018-12-23 07:00:00
125.0,166.0,2.749,17.0,60.0,6.0,2018-12-23 08:00:00,2018-12-23 08:00:00
131.0,181.0,3.015604999999994,22.0,71.0,13.0,2018-12-23 09:00:00,2018-12-23 09:00:00
127.0,186.0,2.951,24.0,76.0,24.0,2018-12-23 10:00:00,2018-12-23 10:00:00
125.0,175.0,2.355,22.0,69.0,37.0,2018-12-23 11:00:00,2018-12-23 11:00:00
58.0,109.0,1.131,17.0,40.0,69.0,2018-12-23 14:00:00,2018-12-23 14:00:00
69.0,117.0,1.102,19.0,41.0,73.0,2018-12-23 15:00:00,2018-12-23 15:00:00
66.0,115.0,1.055,18.0,40.0,69.0,2018-12-23 16:00:00,2018-12-23 16:00:00
66.0,126.0,1.1,17.0,57.0,44.0,2018-12-23 17:00:00,2018-12-23 17:00:00
73.0,133.0,1.209,16.0,68.0,26.0,2018-12-23 18:00:00,2018-12-23 18:00:00
75.0,130.0,1.234,16.0,67.0,22.0,2018-12-23 19:00:00,2018-12-23 19:00:00
79.0,116.0,1.354,16.0,88.0,5.0,2018-12-23 20:00:00,2018-12-23 20:00:00
81.0,150.0,1.607,14.0,93.0,4.0,2018-12-23 21:00:00,2018-12-23 21:00:00
74.0,132.0,1.429,15.0,93.0,3.0,2018-12-23 22:00:00,2018-12-23 22:00:00
77.0,144.0,1.392,15.0,75.0,9.0,2018-12-23 23:00:00,2018-12-23 23:00:00
82.0,132.0,1.475,14.0,65.0,6.0,2018-12-24 00:00:00,2018-12-24 00:00:00
76.0,133.0,1.515,13.0,71.0,2.0,2018-12-24 01:00:00,2018-12-24 01:00:00
77.0,132.0,1.499,12.0,64.0,2.0,2018-12-24 02:00:00,2018-12-24 02:00:00
61.0,111.0,1.434,11.0,58.0,4.0,2018-12-24 03:00:00,2018-12-24 03:00:00
56.0,112.0,1.325,11.0,48.0,9.0,2018-12-24 04:00:00,2018-12-24 04:00:00
48.0,93.0,1.213,11.0,45.0,10.0,2018-12-24 05:00:00,2018-12-24 05:00:00
50.0,90.0,1.281,10.0,58.0,2.0,2018-12-24 06:00:00,2018-12-24 06:00:00
48.0,97.0,1.345,12.0,59.0,5.0,2018-12-24 07:00:00,2018-12-24 07:00:00
40.0,103.0,1.422,14.0,51.0,13.0,2018-12-24 08:00:00,2018-12-24 08:00:00
51.0,117.0,1.229,13.0,47.0,25.0,2018-12-24 09:00:00,2018-12-24 09:00:00
36.0,94.0,0.838,10.0,32.0,64.0,2018-12-24 14:00:00,2018-12-24 14:00:00
37.0,89.0,0.978,11.0,44.0,52.0,2018-12-24 15:00:00,2018-12-24 15:00:00
40.0,117.0,0.838,10.0,43.0,57.0,2018-12-24 16:00:00,2018-12-24 16:00:00
37.0,102.0,0.931,10.0,39.0,56.0,2018-12-24 17:00:00,2018-12-24 17:00:00
36.0,101.0,0.794,10.0,33.0,63.0,2018-12-24 18:00:00,2018-12-24 18:00:00
39.0,82.0,0.7,10.0,32.0,63.0,2018-12-24 19:00:00,2018-12-24 19:00:00
39.0,80.0,0.733,9.0,42.0,44.0,2018-12-24 20:00:00,2018-12-24 20:00:00
34.0,87.0,0.915,11.0,63.0,14.0,2018-12-24 21:00:00,2018-12-24 21:00:00
44.0,109.0,0.99,12.0,63.0,12.0,2018-12-24 22:00:00,2018-12-24 22:00:00
44.0,94.0,0.862,11.0,54.0,20.0,2018-12-24 23:00:00,2018-12-24 23:00:00
36.0,82.0,0.817,11.0,50.0,19.0,2018-12-25 00:00:00,2018-12-25 00:00:00
40.0,74.0,0.786,11.0,48.0,18.0,2018-12-25 01:00:00,2018-12-25 01:00:00
29.0,72.0,0.736,10.0,45.0,20.0,2018-12-25 02:00:00,2018-12-25 02:00:00
27.0,68.0,0.753,9.0,41.0,18.0,2018-12-25 03:00:00,2018-12-25 03:00:00
32.0,59.0,0.703,9.0,40.0,20.0,2018-12-25 04:00:00,2018-12-25 04:00:00
30.0,55.0,0.807,9.0,40.0,19.0,2018-12-25 05:00:00,2018-12-25 05:00:00
36.0,50.0,0.951,9.0,46.0,12.0,2018-12-25 06:00:00,2018-12-25 06:00:00
39.0,62.0,0.986,10.0,55.0,5.0,2018-12-25 07:00:00,2018-12-25 07:00:00
40.0,69.0,1.001,11.0,59.0,6.0,2018-12-25 08:00:00,2018-12-25 08:00:00
39.0,71.0,0.968,11.0,58.0,9.0,2018-12-25 09:00:00,2018-12-25 09:00:00
47.0,72.0,0.963,12.0,54.0,15.0,2018-12-25 10:00:00,2018-12-25 10:00:00
46.0,79.0,1.017,12.0,59.0,11.0,2018-12-25 11:00:00,2018-12-25 11:00:00
54.0,90.0,1.089,11.0,65.0,5.0,2018-12-25 12:00:00,2018-12-25 12:00:00
62.0,90.0,1.044,11.0,66.0,4.0,2018-12-25 13:00:00,2018-12-25 13:00:00
64.0,93.0,1.011,11.0,63.0,4.0,2018-12-25 14:00:00,2018-12-25 14:00:00
57.0,79.0,0.952,10.0,63.0,4.0,2018-12-25 15:00:00,2018-12-25 15:00:00
52.0,61.0,0.924,10.0,61.0,2.0,2018-12-25 16:00:00,2018-12-25 16:00:00
57.0,72.0,0.996,10.0,59.0,2.0,2018-12-25 17:00:00,2018-12-25 17:00:00
48.0,74.0,1.015,10.0,60.0,3.0,2018-12-25 18:00:00,2018-12-25 18:00:00
60.0,64.0,0.995,9.0,60.0,2.0,2018-12-25 19:00:00,2018-12-25 19:00:00
62.0,60.0,0.901,8.0,54.0,2.0,2018-12-25 20:00:00,2018-12-25 20:00:00
51.0,59.0,0.94,8.0,52.0,2.0,2018-12-25 21:00:00,2018-12-25 21:00:00
61.0,59.0,0.941,8.0,48.0,2.0,2018-12-25 22:00:00,2018-12-25 22:00:00
49.0,44.0,0.777,7.0,41.0,7.0,2018-12-25 23:00:00,2018-12-25 23:00:00
29.0,22.0,0.703,8.0,31.0,19.0,2018-12-26 00:00:00,2018-12-26 00:00:00
15.0,23.0,0.641,8.0,24.0,30.0,2018-12-26 01:00:00,2018-12-26 01:00:00
18.0,16.0,0.583,8.0,17.0,45.0,2018-12-26 02:00:00,2018-12-26 02:00:00
17.0,15.0,0.568,7.0,15.0,49.0,2018-12-26 03:00:00,2018-12-26 03:00:00
8.0,8.0,0.555,7.0,13.0,50.0,2018-12-26 04:00:00,2018-12-26 04:00:00
7.0,13.0,0.561,7.0,11.0,63.0,2018-12-26 05:00:00,2018-12-26 05:00:00
14.0,11.0,0.629,6.0,12.0,70.0,2018-12-26 06:00:00,2018-12-26 06:00:00
19.0,13.0,0.679,7.0,20.0,58.0,2018-12-26 07:00:00,2018-12-26 07:00:00
16.0,10.0,0.722,7.0,19.0,65.0,2018-12-26 08:00:00,2018-12-26 08:00:00
14.0,9.0,0.826,6.0,26.0,54.0,2018-12-26 09:00:00,2018-12-26 09:00:00
9.0,15.0,0.872,7.0,28.0,52.0,2018-12-26 10:00:00,2018-12-26 10:00:00
26.0,23.0,0.982,7.0,27.0,49.0,2018-12-26 11:00:00,2018-12-26 11:00:00
8.0,9.0,0.764,6.0,21.0,48.0,2018-12-26 18:00:00,2018-12-26 18:00:00
7.0,9.0,0.731,6.0,19.0,50.0,2018-12-26 19:00:00,2018-12-26 19:00:00
9.0,7.0,0.735,6.0,19.0,51.0,2018-12-26 20:00:00,2018-12-26 20:00:00
15.0,6.0,0.7,6.0,17.0,51.0,2018-12-26 21:00:00,2018-12-26 21:00:00
11.0,15.0,0.688,6.0,18.0,52.0,2018-12-26 22:00:00,2018-12-26 22:00:00
10.0,12.0,0.696,6.0,16.0,56.0,2018-12-26 23:00:00,2018-12-26 23:00:00
10.0,14.0,0.687,6.0,15.0,57.0,2018-12-27 00:00:00,2018-12-27 00:00:00
11.0,11.0,0.618,6.0,13.0,58.0,2018-12-27 01:00:00,2018-12-27 01:00:00
10.0,10.0,0.575,6.0,10.0,60.0,2018-12-27 02:00:00,2018-12-27 02:00:00
10.0,8.0,0.534,6.0,10.0,62.0,2018-12-27 03:00:00,2018-12-27 03:00:00
8.0,11.0,0.494,6.0,8.0,62.0,2018-12-27 04:00:00,2018-12-27 04:00:00
9.0,18.0,0.498,6.0,12.0,58.0,2018-12-27 05:00:00,2018-12-27 05:00:00
18.0,23.0,0.551,6.0,16.0,51.0,2018-12-27 06:00:00,2018-12-27 06:00:00
21.0,27.0,0.601,7.0,24.0,41.0,2018-12-27 07:00:00,2018-12-27 07:00:00
16.0,35.0,0.638,8.0,27.0,42.0,2018-12-27 08:00:00,2018-12-27 08:00:00
21.0,47.0,0.665,8.0,26.0,45.0,2018-12-27 09:00:00,2018-12-27 09:00:00
29.0,50.0,0.729,8.0,25.0,47.0,2018-12-27 10:00:00,2018-12-27 10:00:00
10.0,45.0,0.732,8.0,26.0,44.0,2018-12-27 11:00:00,2018-12-27 11:00:00
13.0,39.0,0.668,8.0,23.0,47.0,2018-12-27 12:00:00,2018-12-27 12:00:00
17.0,42.0,0.656,8.0,25.0,44.0,2018-12-27 13:00:00,2018-12-27 13:00:00
19.0,49.0,0.656,8.0,28.0,41.0,2018-12-27 14:00:00,2018-12-27 14:00:00
25.0,50.0,0.646,8.0,31.0,38.0,2018-12-27 15:00:00,2018-12-27 15:00:00
27.0,56.0,0.696,8.0,31.0,39.0,2018-12-27 16:00:00,2018-12-27 16:00:00
30.0,47.0,0.724,8.0,28.0,40.0,2018-12-27 17:00:00,2018-12-27 17:00:00
26.0,43.0,0.672,7.0,26.0,41.0,2018-12-27 18:00:00,2018-12-27 18:00:00
26.0,40.0,0.66,7.0,26.0,41.0,2018-12-27 19:00:00,2018-12-27 19:00:00
24.0,38.0,0.691,8.0,23.0,44.0,2018-12-27 20:00:00,2018-12-27 20:00:00
19.0,34.0,0.644,7.0,25.0,41.0,2018-12-27 21:00:00,2018-12-27 21:00:00
20.0,32.0,0.572,7.0,18.0,47.0,2018-12-27 22:00:00,2018-12-27 22:00:00
16.0,26.0,0.538,8.0,15.0,52.0,2018-12-27 23:00:00,2018-12-27 23:00:00
19.0,29.0,0.54,8.0,13.0,54.0,2018-12-28 00:00:00,2018-12-28 00:00:00
22.0,28.0,0.535,8.0,14.0,48.0,2018-12-28 01:00:00,2018-12-28 01:00:00
24.0,35.0,0.539,9.0,15.0,46.0,2018-12-28 02:00:00,2018-12-28 02:00:00
18.0,36.0,0.588,8.0,14.0,45.0,2018-12-28 03:00:00,2018-12-28 03:00:00
29.0,44.0,0.658,9.0,17.0,36.0,2018-12-28 04:00:00,2018-12-28 04:00:00
38.0,53.0,0.696,9.0,21.0,34.0,2018-12-28 05:00:00,2018-12-28 05:00:00
43.0,55.0,0.786,10.0,27.0,22.0,2018-12-28 06:00:00,2018-12-28 06:00:00
50.0,69.0,0.997,11.0,35.0,16.0,2018-12-28 07:00:00,2018-12-28 07:00:00
60.0,86.0,1.057,11.0,34.0,20.0,2018-12-28 08:00:00,2018-12-28 08:00:00
52.0,84.0,0.828,11.0,28.0,39.0,2018-12-28 09:00:00,2018-12-28 09:00:00
24.0,40.0,0.601,12.0,28.0,48.0,2018-12-28 10:00:00,2018-12-28 10:00:00
24.0,50.0,0.57,13.0,26.0,51.0,2018-12-28 11:00:00,2018-12-28 11:00:00
19.0,52.0,0.574,13.0,23.0,54.0,2018-12-28 12:00:00,2018-12-28 12:00:00
17.0,54.0,0.552,11.0,23.0,54.0,2018-12-28 13:00:00,2018-12-28 13:00:00
13.0,44.0,0.532,11.0,24.0,56.0,2018-12-28 14:00:00,2018-12-28 14:00:00
12.0,44.0,0.485,10.0,23.0,56.0,2018-12-28 15:00:00,2018-12-28 15:00:00
12.0,37.0,0.481,10.0,28.0,49.0,2018-12-28 16:00:00,2018-12-28 16:00:00
19.0,46.0,0.53,11.0,31.0,44.0,2018-12-28 17:00:00,2018-12-28 17:00:00
19.0,43.0,0.542,10.0,35.0,39.0,2018-12-28 18:00:00,2018-12-28 18:00:00
20.0,54.0,0.598,11.0,37.0,37.0,2018-12-28 19:00:00,2018-12-28 19:00:00
27.0,50.0,0.619,11.0,36.0,36.0,2018-12-28 20:00:00,2018-12-28 20:00:00
18.0,41.0,0.624,13.0,35.0,36.0,2018-12-28 21:00:00,2018-12-28 21:00:00
27.0,50.0,0.646,13.0,39.0,31.0,2018-12-28 22:00:00,2018-12-28 22:00:00
28.0,55.0,0.638,14.0,34.0,32.0,2018-12-28 23:00:00,2018-12-28 23:00:00
27.0,56.0,0.592,14.0,32.0,35.0,2018-12-29 00:00:00,2018-12-29 00:00:00
25.0,51.0,0.575,13.0,29.0,32.0,2018-12-29 01:00:00,2018-12-29 01:00:00
29.0,54.0,0.582,13.0,30.0,30.0,2018-12-29 02:00:00,2018-12-29 02:00:00
31.0,62.0,0.62,16.0,39.0,24.0,2018-12-29 03:00:00,2018-12-29 03:00:00
37.0,74.0,0.923,17.0,47.0,14.0,2018-12-29 04:00:00,2018-12-29 04:00:00
42.0,75.0,1.326,18.0,52.0,11.0,2018-12-29 05:00:00,2018-12-29 05:00:00
44.0,76.0,0.917,17.0,47.0,16.0,2018-12-29 06:00:00,2018-12-29 06:00:00
34.0,70.0,0.767,23.0,57.0,12.0,2018-12-29 07:00:00,2018-12-29 07:00:00
38.0,81.0,0.724,19.0,48.0,26.0,2018-12-29 08:00:00,2018-12-29 08:00:00
28.0,76.0,0.622,17.0,44.0,35.0,2018-12-29 09:00:00,2018-12-29 09:00:00
25.0,71.0,0.691,18.0,43.0,42.0,2018-12-29 10:00:00,2018-12-29 10:00:00
33.0,77.0,0.94,20.0,42.0,46.0,2018-12-29 11:00:00,2018-12-29 11:00:00
40.0,73.0,0.935,17.0,36.0,54.0,2018-12-29 12:00:00,2018-12-29 12:00:00
30.0,69.0,0.764,16.0,40.0,54.0,2018-12-29 13:00:00,2018-12-29 13:00:00
34.0,79.0,0.721,18.0,44.0,52.0,2018-12-29 14:00:00,2018-12-29 14:00:00
32.0,68.0,0.765,19.0,48.0,42.0,2018-12-29 15:00:00,2018-12-29 15:00:00
41.0,77.0,0.734,18.0,57.0,31.0,2018-12-29 16:00:00,2018-12-29 16:00:00
44.0,95.0,0.612,14.0,58.0,27.0,2018-12-29 17:00:00,2018-12-29 17:00:00
32.0,74.0,0.565,12.0,51.0,28.0,2018-12-29 18:00:00,2018-12-29 18:00:00
33.0,67.0,0.526,12.0,59.0,25.0,2018-12-29 19:00:00,2018-12-29 19:00:00
30.0,53.0,0.486,13.0,49.0,29.0,2018-12-29 20:00:00,2018-12-29 20:00:00
28.0,60.0,0.479,13.0,49.0,28.0,2018-12-29 21:00:00,2018-12-29 21:00:00
30.0,62.0,0.439,14.0,42.0,30.0,2018-12-29 22:00:00,2018-12-29 22:00:00
29.0,47.0,0.455,14.0,41.0,29.0,2018-12-29 23:00:00,2018-12-29 23:00:00
32.0,48.0,0.501,14.0,38.0,30.0,2018-12-30 00:00:00,2018-12-30 00:00:00
30.0,54.0,0.492,15.0,36.0,31.0,2018-12-30 01:00:00,2018-12-30 01:00:00
